userid,foodid,rating
108534199650336536066,3,5
100007188915694294663,3,3
107580899475810926552,3,5
109302996872036290663,3,1
101898884746188778450,3,5
107469867926577004590,3,5
104691419728770926716,3,4
112190600759807048983,3,3
113203281453249452453,3,3
108503672475820544200,3,5
114194814737288378544,3,4
104508307976998623615,3,5
112106610978922560958,3,5
112158653666450906068,3,4
112291600353723208725,3,5
101698078305547707203,3,4
109142064014977394350,3,5
113247354086344654296,3,5
100496913803621305762,3,5
101982280174578111032,3,5
103487399183733745197,3,5
109529080427518198085,3,5
106365000651224815937,3,5
108097803681233132422,3,4
117181059427029196300,3,5
101775836258740553364,3,5
101685947846515144499,3,5
113316381846211029515,3,5
115795284281415522491,3,5
112477726864016792635,3,4
107468955325713197461,1,5
117752997676821561327,1,2
106248494922226975918,1,4
100208284490689873934,1,5
107545386795969370641,1,5
101872756264334435055,1,5
107470234189520632096,1,1
104266726065707054571,1,5
113032249786578591082,1,5
113202055637927767789,1,5
110696890345969136168,1,5
101327065772656168114,1,5
101736635261525501731,1,5
107910603418776590158,1,4
104720775633443370512,1,4
100249900791689054557,1,5
101650976251945150614,1,5
111178239122219741509,1,1
101695235102318609373,1,5
112358892003101953715,1,5
104646057317119702330,1,1
110298921902436836352,1,5
103030833176336907256,1,5
101090479391567825411,1,5
116692729866148514528,1,4
114775609929957070502,1,5
100933443100203147635,1,1
105891078227150091036,1,5
114975170290808308967,1,5
105879841782498418810,1,5
111136407063098297690,1,4
110685593802432093334,1,3
104522467238631028524,1,3
117100038111482739455,1,5
113608706305591448585,1,4
110576474418397581239,1,4
101320604942703302986,1,5
114141875234781509512,1,4
106429340375900040104,1,1
107938708376063420871,1,2
116876753990786681355,1,5
116181154785538577007,1,5
105588295153388150934,1,3
118070783161969518329,1,5
110538379602970014055,1,4
109855022561332849835,1,1
115002122916496357830,1,5
111087559027486816991,1,3
114760701872005260328,1,5
101450636065152937440,1,5
113053256703934331594,1,1
101430867269928347114,1,3
111286241976527832440,1,5
115481330401741366450,1,4
111255682252678932891,1,4
116690676017973201212,1,1
110159084652420507022,1,4
117550057894485374366,1,4
103846365328072487223,1,5
118083225557566677189,1,1
113191438761775350387,1,3
114753232648660381335,1,5
110446472612389356550,1,4
117540993937143570919,1,3
109264233210293343638,1,5
106459526612004699477,2,5
113728482022761384372,2,5
114505376485224905141,2,4
108957139123429622262,2,1
116724448114310213003,2,4
115959636273514637065,2,5
102029856126142887245,2,1
115179463025037457208,2,1
107305030889870138451,2,1
115915962175905278053,2,5
103392552530514339702,2,2
111923182120754000174,2,5
106687480747143868595,2,5
114951473228073132623,2,5
114790247981237317160,2,5
118125328000022347498,2,5
101857956015412639888,2,5
108746704447143319744,2,1
116197313521975662286,2,4
109621984362544057857,2,5
117209763893552018689,2,4
104352100482208522564,2,1
114662500057093160987,2,5
104527359714391868993,2,5
100016187295648496379,2,4
111156191327859254232,2,5
106303974048787783560,2,4
107063563919640922248,2,5
116187707602819473448,2,3
117937889507874774841,2,5
108252607871511462990,2,1
104973455097118674722,2,3
112628665462313534193,2,4
108950811452856396792,2,5
118197704006096944584,2,4
105815104935464023642,2,1
104772022056749613637,2,5
116268189134954728781,2,5
108182392432223766811,2,3
101120002170002345501,2,5
102238023054173999312,2,3
114786077949981923871,2,4
117488187805633889458,2,5
100802167856120266777,2,5
100969318748101515203,2,5
102432442975831790026,2,4
106457531863972879574,2,5
103022163065277942595,2,4
103437201440989424522,2,4
118118997172055796951,2,5
100390210459952851615,2,5
118102996071531871692,2,5
117281162240543442901,2,1
107105283508927157493,2,5
109860000686146551745,2,5
113670623203834247227,2,5
108346514061846962058,2,4
107858645039618084001,2,5
114204209595203408369,2,2
109061677169015427272,2,5
106131666508800493087,2,1
115545339257511186712,2,1
102916499962738980856,2,4
113798619585822763220,2,5
116511811225537699046,2,5
102851978110870617404,2,1
114033755648015688347,2,5
104173424435481715921,2,5
114351295160629580798,2,4
116078738476207809916,2,5
117616253429075982978,2,4
116596043372682342597,2,4
100898938520110218556,2,5
113297877716327493676,2,5
105249995103147923028,2,5
115329103961214375139,2,4
102570285676273482749,2,5
101121228307890788935,2,4
106365000651224815937,2,5
103084434826176344907,2,4
118286411387402263582,2,5
108590164199418933586,2,5
114224010516045209631,2,5
117512856044563688057,2,5
118428113201250498635,2,5
103682906429356495207,2,5
117558405086732136928,2,5
101510268919118193924,2,4
115623626903555069262,2,5
